keyword,tool_name,context_query,search_volume,keyword_difficulty,cpc,pillar,priority,notes
"best invoicing software for freelancers",,"Best Invoicing Software for Freelancers",1200,35,2.50,operations,high,"WEDGE: Free tier focus. Compare Wave, Zoho Invoice, FreshBooks"
"notion alternatives","Notion","Notion Alternatives",8100,52,3.20,operations,high,"Hot topic. Include Obsidian, Coda, Craft"
"figma vs penpot","Figma","Figma vs Penpot",720,28,1.80,creative,high,"WEDGE: Open source angle. Penpot is our differentiator"
"best time tracking app for freelancers",,"Best Time Tracking Apps for Freelancers",2400,42,1.90,operations,high,"Toggl, Clockify, Harvest comparison"
"supabase vs firebase","Supabase","Supabase vs Firebase",4400,45,4.50,builder,high,"CORE: Our origin story. Deep technical comparison"
"best no-code app builders",,"Best No-Code App Builders",3600,58,3.80,builder,medium,"Bubble, Webflow, Framer, Glide"
"canva alternatives","Canva","Canva Alternatives",5400,48,2.10,creative,medium,"Include Penpot, Figma, Adobe Express"
"best email marketing for solopreneurs",,"Best Email Marketing for Solopreneurs",890,38,2.80,growth,medium,"ConvertKit, Mailchimp, Beehiiv"
"loom alternatives","Loom","Loom Alternatives",2900,35,1.60,creative,medium,"Screen recording focus. OBS, Descript, Tella"
"best crm for small business",,"Best CRM for Small Business",12100,65,5.20,growth,low,"Competitive but high value. Folk, HubSpot, Pipedrive"
"linear vs jira","Linear","Linear vs Jira",1600,32,3.40,builder,high,"WEDGE: Dev-focused. Linear is our darling"
"descript review","Descript",,,25,1.50,creative,medium,"Single tool review"
"wise vs paypal for freelancers","Wise","Wise vs PayPal for Freelancers",1100,28,2.20,operations,high,"International payments angle"
"obsidian vs notion","Obsidian","Obsidian vs Notion",6600,42,2.80,operations,high,"Privacy & local-first vs cloud"
"best project management for agencies",,"Best Project Management Tools for Agencies",1800,48,4.10,operations,medium,"Monday, ClickUp, Asana, Basecamp"
